snapshot_id,snapshot_year,as_of_date,competition_source,source_type,source_url,raw_team_name,canonical_team,player_count,fifa_rank,fifa_points,squad_market_value_eur_m,top_11_market_value_eur_m,top_5_market_value_eur_m,avg_age,total_caps,avg_caps,club_strength_index,recent_competitive_form,data_quality,notes
2026-proxy-argentina,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Argentina,Argentina,26,1,1886.16,780,520,360,28.2,1120,43.1,92,94,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-brazil,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Brazil,Brazil,26,5,1776.03,910,610,420,27.1,980,37.7,94,82,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-france,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,France,France,26,2,1859.78,1120,760,520,27.0,1040,40.0,96,88,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-england,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,England,England,26,4,1813.81,1180,790,550,26.8,900,34.6,95,86,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-spain,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Spain,Spain,26,3,1853.27,940,650,430,26.2,860,33.1,94,92,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-germany,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Germany,Germany,26,10,1703.79,850,560,370,27.5,960,36.9,90,78,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-portugal,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Portugal,Portugal,26,6,1756.12,980,660,460,27.6,1060,40.8,93,84,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-netherlands,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Netherlands,Netherlands,26,7,1747.55,760,520,340,26.7,760,29.2,89,80,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-belgium,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Belgium,Belgium,26,8,1740.62,590,390,260,28.4,990,38.1,86,74,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-croatia,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Croatia,Croatia,26,13,1691.59,350,240,160,28.7,1040,40.0,82,76,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-morocco,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Morocco,Morocco,26,14,1688.18,410,280,190,27.3,720,27.7,83,82,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-usa,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,USA,United States,26,16,1670.06,320,220,150,25.8,620,23.8,78,70,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-mexico,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Mexico,Mexico,26,15,1678.12,230,155,105,27.9,850,32.7,76,68,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-canada,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Canada,Canada,26,30,1522.32,250,170,115,26.5,530,20.4,74,72,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-japan,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,Japan,Japan,26,17,1652.79,300,205,135,27.0,780,30.0,79,84,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
2026-proxy-south-korea,2026,2026-05-12,Manual 2026 proxy,provisional,https://inside.fifa.com/fifa-world-ranking/men,South Korea,South Korea,26,23,1585.45,220,150,105,27.4,760,29.2,75,76,proxy_only,Manual sample/proxy values for portfolio adjustment layer; not official 2026 squad data.
